"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"160","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"161","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"162","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"163","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"164","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"165","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"166","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"167","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"168","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"169","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"170","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"171","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"172","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"173","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"174","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
"175","ACDEFGHIKLMNOPQRSTUVWY","1000","1000","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","500","500","50","2000","10","-1","0.003","10000","1","default","32","run-2022-06-21-1"
